space	start	end	width	reads	gc	map	valid	ideal	cor.gc	cor.map	copy
chr1	15000001	15500000	500000	6501	0.494934	0.925723	TRUE	TRUE	0.974206740743875	0.96243772522712	-0.0552349011146603
chr1	15500001	16000000	500000	6948	0.472726	0.882697	TRUE	FALSE	1.02187857080991	1.01678546341345	0.0240153099527131
chr1	16000001	16500000	500000	6693	0.513082	0.864526	TRUE	FALSE	1.02580958892704	1.02543249660463	0.036232523490984
chr1	16500001	17000000	500000	8727	0.479312	0.811456	TRUE	FALSE	1.28994501786235	1.33942226764203	0.421610857894443
chr1	17000001	17500000	500000	7254	-1	0.794122	FALSE	FALSE	0	0	0
chr1	17500001	18000000	500000	6612	0.513392	0.891381	TRUE	FALSE	1.01379120184482	1.00725493595883	0.010428875296271
chr1	18000001	18500000	500000	6400	0.494528	0.954751	TRUE	TRUE	0.958642022885392	0.94309111073728	-0.0845309404670745
chr1	18500001	19000000	500000	6392	0.488698	0.956821	TRUE	TRUE	0.951823271237952	0.93618936336772	-0.0951277211041229
chr1	19000001	19500000	500000	6716	0.49686	0.950191	TRUE	TRUE	1.00857981441935	0.992671051373277	-0.0106123742888754
chr1	19500001	20000000	500000	7068	0.477782	0.893128	TRUE	FALSE	1.04346938231279	1.0364861616157	0.0517008547959264
chr1	20000001	20500000	500000	7120	0.462494	0.89635	TRUE	FALSE	1.04012943020948	1.03269897858572	0.046419784319256
chr1	20500001	21000000	500000	6682	0.485118	0.926	TRUE	TRUE	0.992258489288522	0.98021081286394	-0.0288360334496891
chr1	21000001	21500000	500000	7296	0.41547	0.884994	TRUE	FALSE	1.03027742298305	1.02472877644756	0.0352421100693674
chr1	21500001	22000000	500000	6475	0.505598	0.877877	TRUE	FALSE	0.982783438773524	0.978836078395377	-0.0308608169653206
chr1	22000001	22500000	500000	6889	0.48992	0.856027	TRUE	FALSE	1.0269550400089	1.03007668018797	0.0427517374174718
chr1	22500001	23000000	500000	6966	0.493016	0.947248	TRUE	TRUE	1.04170854952646	1.02558967665832	0.0364536453173446
chr1	23000001	23500000	500000	6953	0.47373	0.916569	TRUE	TRUE	1.02333944501578	1.01295797878788	0.0185743270988047
chr1	23500001	24000000	500000	6924	0.472092	0.865018	TRUE	FALSE	1.01791639890019	1.01737815318685	0.0248560197305237
chr1	24000001	24500000	500000	5365	0.473276	0.764401	TRUE	FALSE	0.789360136317021	0.88013500526445	-0.184203256948101
chr1	24500001	25000000	500000	7206	0.456138	0.902644	TRUE	TRUE	1.04796634224602	1.03960716365463	0.0560384801822762
chr1	25000001	25500000	500000	6833	0.482684	0.901012	TRUE	TRUE	1.01279862852826	1.00492613908926	0.00708946888129601
chr1	25500001	26000000	500000	6089	0.465824	0.870656	TRUE	FALSE	0.8915053299831	0.889403173834874	-0.169090541932074
chr1	26000001	26500000	500000	6731	0.487938	0.899885	TRUE	FALSE	1.00167387781775	0.994028720584702	-0.00864055854595575
chr1	26500001	27000000	500000	6687	0.48615	0.842925	TRUE	FALSE	0.993758711834496	1.00425096739956	0.00611985113879613
chr1	27000001	27500000	500000	7000	0.492838	0.845833	TRUE	FALSE	1.04659399463635	1.05568755837872	0.078182917391207
chr1	27500001	28000000	500000	6578	0.498338	0.86632	TRUE	FALSE	0.989472501183579	0.988527529782537	-0.0166469503515016
chr1	28000001	28500000	500000	7153	0.444136	0.844052	TRUE	FALSE	1.02988772701956	1.04001443745009	0.0566035559558579
chr1	28500001	29000000	500000	6963	0.460588	0.796014	TRUE	FALSE	1.01594248272961	1.07451313419756	0.103683117503606
chr1	29000001	29500000	500000	7275	0.449012	0.838338	TRUE	FALSE	1.05197347224801	1.06666160611137	0.0931025598395925
chr1	29500001	30000000	500000	5324	-1	0.701934	FALSE	FALSE	0	0	0
chr1	30000001	30500000	500000	6414	-1	0.905708	FALSE	FALSE	0	0	0
chr1	30500001	31000000	500000	6497	0.481586	0.932533	TRUE	TRUE	0.962114815448615	0.949219186613683	-0.0751868327956016
chr1	31000001	31500000	500000	6788	0.479274	0.937778	TRUE	TRUE	1.00330942006735	0.988932599251482	-0.0160558975017821
chr1	31500001	32000000	500000	7083	0.46007	0.84874	TRUE	FALSE	1.03309476185527	1.04014752831124	0.0567881661244787
chr1	32000001	32500000	500000	6974	0.488656	0.904049	TRUE	TRUE	1.03845101268412	1.02998581331094	0.0426244663338217
chr1	32500001	33000000	500000	6786	0.475456	0.835783	TRUE	FALSE	1.00005482303113	1.01602168720752	0.0229311970833183
chr1	33000001	33500000	500000	6891	0.469764	0.843109	TRUE	FALSE	1.01157236945013	1.02213284193121	0.0315827089378427
chr1	33500001	34000000	500000	7036	0.465568	0.914198	TRUE	TRUE	1.02996783135009	1.01996513630644	0.0285198399051906
chr1	34000001	34500000	500000	6817	0.452504	0.949857	TRUE	TRUE	0.988516127585131	0.972956318555918	-0.0395530590663532
chr1	34500001	35000000	500000	6503	0.439524	0.941899	TRUE	TRUE	0.93259410611712	0.918756099905073	-0.122246171521927
chr1	35000001	35500000	500000	6603	0.452928	0.918102	TRUE	TRUE	0.957811242049066	0.947826559191566	-0.0773050073742056
chr1	35500001	36000000	500000	7342	0.413266	0.848942	TRUE	FALSE	1.03622756047628	1.04316791380859	0.0609714003515604
chr1	36000001	36500000	500000	7068	0.434636	0.880866	TRUE	FALSE	1.00919589277937	1.00448923798957	0.00646210724467702
chr1	36500001	37000000	500000	6896	0.486274	0.865701	TRUE	FALSE	1.02491298576067	1.02414182037616	0.03441550966043
chr1	37000001	37500000	500000	6622	0.48945	0.964879	TRUE	TRUE	0.986723045086853	0.969816369005947	-0.0442164904783347
chr1	37500001	38000000	500000	6805	0.47098	0.920928	TRUE	TRUE	0.999706842001911	0.988687588742809	-0.0164133730673963
chr1	38000001	38500000	500000	6772	0.475414	0.87257	TRUE	FALSE	0.997959961182701	0.995167537478583	-0.00698866959018287
chr1	38500001	39000000	500000	7065	0.45753	0.945856	TRUE	TRUE	1.02857735547901	1.01283164144564	0.0183943812095178
chr1	39000001	39500000	500000	7046	0.44863	0.879154	TRUE	FALSE	1.01853142634937	1.0141423302299	0.0202601421903356
chr1	39500001	40000000	500000	6953	0.439456	0.88087	TRUE	FALSE	0.997065948445484	0.992415167004138	-0.0109843108919553
chr1	40000001	40500000	500000	6942	0.474774	0.880152	TRUE	FALSE	1.02251870747829	1.0178786267539	0.0255655427302186
chr1	40500001	41000000	500000	6996	0.424226	0.870642	TRUE	FALSE	0.991093085232853	0.988759294866441	-0.0163087431328403
chr1	41000001	41500000	500000	6897	0.469254	0.899894	TRUE	FALSE	1.01213141020463	1.0044053003148	0.00634154694158217
chr1	41500001	42000000	500000	6987	0.459646	0.92498	TRUE	TRUE	1.0187989507404	1.00665812557534	0.00957380819107134
chr1	42000001	42500000	500000	7242	0.458744	0.947264	TRUE	TRUE	1.05531032402095	1.03897897999821	0.0551664667935172
chr1	42500001	43000000	500000	7215	0.410184	0.909298	TRUE	TRUE	1.01745309729563	1.00848371393788	0.0121877859729161
chr1	43000001	43500000	500000	7127	0.444082	0.894205	TRUE	FALSE	1.02609558204706	1.01907373830606	0.0272584460469844
chr1	43500001	44000000	500000	6825	0.46556	0.896898	TRUE	FALSE	0.999074794934345	0.99186095463784	-0.0117902062454575
chr1	44000001	44500000	500000	6792	0.489678	0.924977	TRUE	TRUE	1.01226561431156	1.00020331526777	0.00029329211417866
chr1	44500001	45000000	500000	7177	0.448976	0.92058	TRUE	TRUE	1.03777127853554	1.02641224716475	0.0376102898995897
chr1	45000001	45500000	500000	6786	0.4763	0.869158	TRUE	FALSE	1.00069553903539	0.998811348206294	-0.00171588204340723
chr1	45500001	46000000	500000	7057	0.426884	0.826281	TRUE	FALSE	1.00121716582955	1.02515424211878	0.0358409903149051
chr1	46000001	46500000	500000	7113	0.42514	0.852501	TRUE	FALSE	1.00810775990116	1.01280090949404	0.0183506054179473
chr1	46500001	47000000	500000	6856	0.477598	0.872576	TRUE	FALSE	1.01202668651584	1.00919350650998	0.0132028286722117
chr1	47000001	47500000	500000	6563	0.432612	0.867077	TRUE	FALSE	0.93561493688089	0.934489684315907	-0.0977493565118202
chr1	47500001	48000000	500000	6813	0.44435	0.879787	TRUE	FALSE	0.981119596295301	0.976749415247075	-0.0339396081798704
chr1	48000001	48500000	500000	6728	0.47836	0.96383	TRUE	TRUE	0.993722505716848	0.976786711981903	-0.0338845205737242
chr1	48500001	49000000	500000	6875	0.40629	0.875818	TRUE	FALSE	0.968491102169812	0.965058614600709	-0.0513115251225305
chr1	49000001	49500000	500000	6956	0.42157	0.960392	TRUE	TRUE	0.984425494192955	0.96794310889093	-0.0470058396735598
chr1	49500001	50000000	500000	6886	0.378352	0.903145	TRUE	TRUE	0.959962045178577	0.952244865525373	-0.0705954910444577
chr1	50000001	50500000	500000	6854	0.371538	0.860557	TRUE	FALSE	0.954453449729777	0.955380757373536	-0.0658522755633683
chr1	50500001	51000000	500000	7174	0.418322	0.941869	TRUE	TRUE	1.01407162649788	0.999028257187397	-0.00140261013534654
chr1	51000001	51500000	500000	7240	0.382956	0.874982	TRUE	FALSE	1.01029599706264	1.00690923504577	0.00993364158594227
chr1	51500001	52000000	500000	7417	0.412344	0.878049	TRUE	FALSE	1.04658747062876	1.04234256546934	0.0598294966977061
chr1	52000001	52500000	500000	7433	0.413904	0.898368	TRUE	FALSE	1.04922321035069	1.0414313339298	0.0585677193932094
chr1	52500001	53000000	500000	7368	0.41308	0.862861	TRUE	FALSE	1.03985293901418	1.04003823596591	0.0566365685821277
chr1	53000001	53500000	500000	7256	0.431396	0.846327	TRUE	FALSE	1.03332742281788	1.04197827135773	0.0593251930374386
chr1	53500001	54000000	500000	6912	0.492008	0.945503	TRUE	TRUE	1.03253378132588	1.01677078013708	0.0239944760170282
chr1	54000001	54500000	500000	7151	0.459268	0.921471	TRUE	TRUE	1.04243888950365	1.0308235933172	0.0437974628497371
chr1	54500001	55000000	500000	6559	0.487852	0.902805	TRUE	TRUE	0.976010327590831	0.968205515302221	-0.0466147824728323
chr1	55000001	55500000	500000	6731	0.48352	0.890482	TRUE	FALSE	0.998337581144976	0.992026843620992	-0.0115489353287264
chr1	55500001	56000000	500000	7210	0.41857	0.931488	TRUE	TRUE	1.01926553619317	1.00579214804444	0.00833219583141999
chr1	56000001	56500000	500000	7084	0.399154	0.945021	TRUE	TRUE	0.99571393534673	0.980570031051417	-0.0283074253647236
chr1	56500001	57000000	500000	7081	0.40812	0.934536	TRUE	TRUE	0.997925244770886	0.984196542754527	-0.0229816462507049
chr1	57000001	57500000	500000	7243	0.402878	0.947923	TRUE	TRUE	1.01948740300258	1.00363410283458	0.0052333985325265
chr1	57500001	58000000	500000	7147	0.405918	0.961926	TRUE	TRUE	1.00672874408272	0.989738318852928	-0.014880959590718
chr1	58000001	58500000	500000	7312	0.4045	0.946039	TRUE	TRUE	1.02964848838432	1.01386400501956	0.0198641489468711
chr1	58500001	59000000	500000	6824	0.413974	0.908788	TRUE	TRUE	0.963273755404758	0.954852634008696	-0.06665000110024
chr1	59000001	59500000	500000	7310	0.422352	0.937021	TRUE	TRUE	1.03480826526866	1.02011827042011	0.0287364249978068
chr1	59500001	60000000	500000	7015	0.407466	0.929113	TRUE	TRUE	0.988468019390855	0.975816915681274	-0.0353176024432984
chr1	60000001	60500000	500000	7277	0.39498	0.913156	TRUE	TRUE	1.02114226661878	1.01141973821209	0.0163818385539443
chr1	60500001	61000000	500000	7194	0.37483	0.918295	TRUE	TRUE	1.00224357921707	0.991760420669952	-0.0119364436865771
chr1	61000001	61500000	500000	7078	0.399528	0.927733	TRUE	TRUE	0.995017882489958	0.982556781591759	-0.0253873122959871
chr1	61500001	62000000	500000	7129	0.395642	0.955455	TRUE	TRUE	1.00063520160853	0.984333852265366	-0.0227803836731234
chr1	62000001	62500000	500000	7354	0.402272	0.878156	TRUE	FALSE	1.0349039010717	1.03068099513809	0.0435978749494024
chr1	62500001	63000000	500000	6938	0.430326	0.879835	TRUE	FALSE	0.987105772151545	0.982698072232588	-0.0251798691678839
chr1	63000001	63500000	500000	7419	0.385316	0.906265	TRUE	TRUE	1.03586077867387	1.02713061077841	0.0386196476164151
chr1	63500001	64000000	500000	7133	0.392878	0.90545	TRUE	TRUE	1.00004599081106	0.991719227652335	-0.0119963676311404
chr1	64000001	64500000	500000	7358	0.412872	0.948531	TRUE	TRUE	1.03839186360266	1.02218246164316	0.0316527432542218
chr1	64500001	65000000	500000	7506	0.408236	0.914556	TRUE	TRUE	1.05785178750153	1.04750909996118	0.0669627770146836
chr1	65000001	65500000	500000	7504	0.4055	0.935136	TRUE	TRUE	1.05692166425383	1.04226936466813	0.0597281767048489
chr1	65500001	66000000	500000	6865	0.409854	0.906241	TRUE	TRUE	0.967982756706904	0.959827554955447	-0.0591528640098074
chr1	66000001	66500000	500000	7284	0.371378	0.89078	TRUE	FALSE	1.01429493314517	1.00784092355276	0.0112679434881059
chr1	66500001	67000000	500000	7306	0.383796	0.919298	TRUE	TRUE	1.01968637949936	1.00881420759472	0.0126604990600114
chr1	67000001	67500000	500000	7471	0.372432	0.934988	TRUE	TRUE	1.04055130645937	1.02615314128505	0.0372460522759808
chr1	67500001	68000000	500000	7262	0.406774	0.87916	TRUE	FALSE	1.02311437094844	1.01870411905595	0.026735083931659
chr1	68000001	68500000	500000	7494	0.412032	0.939291	TRUE	TRUE	1.05737128322353	1.04200965129945	0.0593686402050654
chr1	68500001	69000000	500000	7360	0.396932	0.92781	TRUE	TRUE	1.03358977092483	1.02062808740431	0.0294572499522173
chr1	69000001	69500000	500000	7007	0.373348	0.903596	TRUE	TRUE	0.976045770612675	0.968144406913234	-0.0467058411898193
chr1	69500001	70000000	500000	7085	0.369204	0.914693	TRUE	TRUE	0.985830628735574	0.976167422967042	-0.0347994885236365
chr1	70000001	70500000	500000	7294	0.353898	0.919617	TRUE	TRUE	1.00721564050155	0.99640540961101	-0.00519524071347842
chr1	70500001	71000000	500000	7399	0.376878	0.917203	TRUE	TRUE	1.03108891819249	1.02050950910727	0.0292896254651817
chr1	71000001	71500000	500000	7351	0.377052	0.920111	TRUE	TRUE	1.02443566298462	1.01332876399169	0.0191023175055431
chr1	71500001	72000000	500000	7483	0.368094	0.923693	TRUE	TRUE	1.04073481394647	1.02862802571748	0.0407213666124763
chr1	72000001	72500000	500000	7595	0.353606	0.952583	TRUE	TRUE	1.04859022211997	1.03180367090085	0.0451684843625051
chr1	72500001	73000000	500000	6755	0.344518	0.951027	TRUE	TRUE	0.926774864777093	0.912080233733159	-0.132767354140405
chr1	73000001	73500000	500000	7468	0.350444	0.937837	TRUE	TRUE	1.02896777736764	1.01421257999674	0.0203600743962625
chr1	73500001	74000000	500000	7329	0.349042	0.939072	TRUE	TRUE	1.00886167336149	0.994231071159464	-0.00834690459494893
chr1	74000001	74500000	500000	7356	0.357042	0.956472	TRUE	TRUE	1.01763273671107	1.00095278686242	0.00137392645578921
chr1	74500001	75000000	500000	7349	0.356602	0.925863	TRUE	TRUE	1.01641809373097	1.00410777222017	0.00591412397316858
chr1	75000001	75500000	500000	7139	0.37175	0.923261	TRUE	TRUE	0.994187081292972	0.982716549620436	-0.0251527428449991
chr1	75500001	76000000	500000	7077	0.374126	0.903353	TRUE	TRUE	0.985876311895338	0.977925237128964	-0.032203920247846
chr1	76000001	76500000	500000	7399	0.380542	0.882679	TRUE	FALSE	1.03200640583718	1.02686606914602	0.0382480278304651
chr1	76500001	77000000	500000	7284	0.389622	0.943203	TRUE	TRUE	1.01918781328693	1.00390698670204	0.00562560789431229
chr1	77000001	77500000	500000	7224	0.386936	0.923741	TRUE	TRUE	1.00923500203183	0.997483960422023	-0.00363445195403452
chr1	77500001	78000000	500000	7597	0.382958	0.936718	TRUE	TRUE	1.06011350304478	1.04512095256615	0.0636699160569835
chr1	78000001	78500000	500000	7676	0.388162	0.89037	TRUE	FALSE	1.07307159003809	1.06630530112235	0.0926205650709473
chr1	78500001	79000000	500000	7113	0.384694	0.900301	TRUE	TRUE	0.992964691122871	0.985334458926132	-0.0213145831793571
chr1	79000001	79500000	500000	7520	0.360244	0.933354	TRUE	TRUE	1.04207149209917	1.0279530091889	0.0397743161274696
chr1	79500001	80000000	500000	7394	0.35694	0.93803	TRUE	TRUE	1.02283255497443	1.00813051896563	0.0116824313722848
chr1	80000001	80500000	500000	7165	0.355616	0.919446	TRUE	TRUE	0.990417899790718	0.979825392437631	-0.0294034149535165
chr1	80500001	81000000	500000	7347	0.35124	0.923783	TRUE	TRUE	1.0128255599911	1.00102332634523	0.00147559296560497
chr1	81000001	81500000	500000	7411	0.351246	0.936495	TRUE	TRUE	1.02165231440109	1.00724389858019	0.0104130663306241
chr1	81500001	82000000	500000	7404	0.368816	0.953848	TRUE	TRUE	1.03005384135166	1.01343592686626	0.0192548792198323
chr1	82000001	82500000	500000	7387	0.364988	0.946602	TRUE	TRUE	1.02601393681402	1.01021659211913	0.014664642359297
chr1	82500001	83000000	500000	7284	0.371044	0.932504	TRUE	TRUE	1.01420705924218	1.00061841364151	0.000891906538655185
chr1	83000001	83500000	500000	7187	0.36098	0.961015	TRUE	TRUE	0.996299702312526	0.979564397148182	-0.0297877556436759
chr1	83500001	84000000	500000	5415	0.367092	0.755917	TRUE	FALSE	0.752802142928152	0.854080162633513	-0.227556609577559
chr1	84000001	84500000	500000	7388	0.3813	0.954687	TRUE	TRUE	1.0306229752266	1.01391088439445	0.0199308552090296
chr1	84500001	85000000	500000	7235	0.374536	0.92817	TRUE	TRUE	1.00792668187477	0.99520691946874	-0.00693157862249195
chr1	85000001	85500000	500000	7294	0.403988	0.939099	TRUE	TRUE	1.02698529496921	1.01208856465716	0.0173355412190461
chr1	85500001	86000000	500000	7953	0.395116	0.92533	TRUE	FALSE	1.1160612687116	1.1026752583842	0.141007974882339
chr1	86000001	86500000	500000	7524	0.377086	0.882832	TRUE	FALSE	1.04855241712299	1.04330161207344	0.0611562924111215
chr1	86500001	87000000	500000	7199	0.378056	0.912167	TRUE	TRUE	1.00351041906151	0.994137213675077	-0.00848310444123348
chr1	87000001	87500000	500000	7120	0.38553	0.874292	TRUE	FALSE	0.994177816842225	0.991002617083209	-0.01303922753818
chr1	87500001	88000000	500000	7206	0.403886	0.95925	TRUE	TRUE	1.01456852750574	0.997682471220319	-0.00334736758787221
chr1	88000001	88500000	500000	7332	0.380748	0.960367	TRUE	TRUE	1.02270281202747	1.00558177273488	0.00803040468875546
chr1	88500001	89000000	500000	7441	0.373594	0.956152	TRUE	TRUE	1.03652825006693	1.01957117499949	0.0279624916219031
chr1	89000001	89500000	500000	7510	0.38298	0.903531	TRUE	TRUE	1.04797782123259	1.03950264044842	0.0558934228013913
chr1	89500001	90000000	500000	7063	0.390624	0.879807	TRUE	FALSE	0.988905236519709	0.98449584495793	-0.0225429776089222
chr1	90000001	90500000	500000	7358	0.40092	0.925583	TRUE	TRUE	1.03494168779983	1.02247089741001	0.0320597803212825
chr1	90500001	91000000	500000	7355	0.38393	0.917875	TRUE	TRUE	1.02655627722457	1.01589748237848	0.0227548222611141
chr1	91000001	91500000	500000	7104	0.38992	0.929137	TRUE	TRUE	0.994192988719049	0.981464391268948	-0.0269921689907387
chr1	91500001	92000000	500000	6852	0.395064	0.84547	TRUE	FALSE	0.961535981688462	0.970114518217109	-0.0437730330390948
chr1	92000001	92500000	500000	6916	0.421956	0.905385	TRUE	TRUE	0.978895931909376	0.970753201632844	-0.0428235346055702
chr1	92500001	93000000	500000	7204	0.394204	0.868843	TRUE	FALSE	1.01059348709658	1.00879465075492	0.0126325307492137
chr1	93000001	93500000	500000	7524	0.393194	0.864227	TRUE	FALSE	1.05503069697587	1.0547462248705	0.0768959238972929
chr1	93500001	94000000	500000	7404	0.384482	0.886198	TRUE	FALSE	1.03353177114545	1.02774821223141	0.0394868623351987
chr1	94000001	94500000	500000	7184	0.432008	0.908231	TRUE	TRUE	1.02361947789838	1.014741801332	0.0211126837405135
chr1	94500001	95000000	500000	7322	0.404182	0.91218	TRUE	TRUE	1.03097767003731	1.02134545832528	0.0304709237237455
chr1	95000001	95500000	500000	7479	0.425272	0.928734	TRUE	TRUE	1.06005260157372	1.04655639567208	0.0656500560410475
chr1	95500001	96000000	500000	7532	0.392104	0.91838	TRUE	TRUE	1.05553664108038	1.04447968491816	0.0627844323256992
chr1	96000001	96500000	500000	7492	0.369776	0.957285	TRUE	TRUE	1.0427049119372	1.02553072313471	0.0363707131245777
chr1	96500001	97000000	500000	7018	0.374178	0.905911	TRUE	TRUE	0.977662132494175	0.969465582345832	-0.0447384137398016
chr1	97000001	97500000	500000	7468	0.37358	0.914024	TRUE	TRUE	1.0402877827779	1.03021793891356	0.0429495666612217
chr1	97500001	98000000	500000	7413	0.359166	0.933782	TRUE	TRUE	1.02667520726878	1.01268769958314	0.0181893333411984
chr1	98000001	98500000	500000	7816	0.343234	0.966664	TRUE	FALSE	1.07123820158515	1.05271688861522	0.0741174987491175
chr1	98500001	99000000	500000	7706	0.362604	0.950559	TRUE	TRUE	1.06912246370258	1.05222003264754	0.0734364221366312
chr1	99000001	99500000	500000	7414	0.36724	0.930661	TRUE	TRUE	1.03077073172851	1.01729597510401	0.0247394822358982
chr1	99500001	100000000	500000	7167	0.370984	0.905689	TRUE	TRUE	0.997899490424599	0.989560878989219	-0.0151396285301016
chr1	100000001	100500000	500000	7782	0.38249	0.918646	TRUE	FALSE	1.0858295108844	1.07440254001758	0.103534620587632
chr1	100500001	101000000	500000	7442	0.386066	0.920371	TRUE	TRUE	1.03932122660586	1.02799322544516	0.0398307570912459
chr1	101000001	101500000	500000	7563	0.377296	0.898469	TRUE	FALSE	1.05403622279151	1.04619370201435	0.065149990269042
chr1	101500001	102000000	500000	7341	0.388618	0.93574	TRUE	TRUE	1.02651696510097	1.01217672173337	0.0174612004175837
chr1	102000001	102500000	500000	7149	0.35492	0.951737	TRUE	TRUE	0.987804712358974	0.972073434827903	-0.0408627892248289
chr1	102500001	103000000	500000	7236	0.346786	0.918049	TRUE	TRUE	0.99447244265894	0.984115202702314	-0.0231008843645777
chr1	103000001	103500000	500000	7294	0.346954	0.918054	TRUE	TRUE	1.00256613976395	0.992123690865089	-0.0114080981931709
chr1	103500001	104000000	500000	4273	-1	0.686859	FALSE	FALSE	0	0	0
chr1	104000001	104500000	500000	5209	0.351268	0.833028	TRUE	FALSE	0.718103242206952	0.731126219803597	-0.451807603941595
chr1	104500001	105000000	500000	7300	0.351878	0.928156	TRUE	TRUE	1.00676173679654	0.994059779293061	-0.00859548183580797
chr1	105000001	105500000	500000	7054	0.351526	0.895483	TRUE	FALSE	0.972614437109703	0.965784415139335	-0.0502269119551813
chr1	105500001	106000000	500000	7173	0.339752	0.937891	TRUE	TRUE	0.980201503547111	0.966136269408959	-0.0497014054790877
chr1	106000001	106500000	500000	6990	0.345954	0.92483	TRUE	TRUE	0.960073937275648	0.948664683475114	-0.0760298548198066
chr1	106500001	107000000	500000	7095	0.348978	0.933587	TRUE	TRUE	0.976607864932721	0.963336117541655	-0.0538888383504952
chr1	107000001	107500000	500000	7408	0.358956	0.946311	TRUE	TRUE	1.02587087759996	1.01011117610271	0.0145140893978837
chr1	107500001	108000000	500000	7412	0.371584	0.962598	TRUE	TRUE	1.0321684197623	1.01468820415416	0.0210364806859742
chr1	108000001	108500000	500000	7309	0.382384	0.941626	TRUE	TRUE	1.0198106716651	1.00471161907688	0.00678146615001195
chr1	108500001	109000000	500000	4569	0.39712	0.886503	TRUE	FALSE	0.64168846508617	0.638063447734568	-0.648228205096587
chr1	109000001	109500000	500000	7105	0.403496	0.879395	TRUE	FALSE	1.00024414737494	0.995878616503283	-0.00595818596811387
chr1	109500001	110000000	500000	7216	0.450006	0.877901	TRUE	FALSE	1.04428712786456	1.04008699038344	0.0567041969686369
chr1	110000001	110500000	500000	6480	0.472342	0.895608	TRUE	FALSE	0.952800548245511	0.946092981516534	-0.079946117051252
chr1	110500001	111000000	500000	6966	0.468466	0.95294	TRUE	TRUE	1.02174947763081	1.00535674633311	0.00770752612018845
chr1	111000001	111500000	500000	6922	0.424064	0.946653	TRUE	TRUE	0.980540010404726	0.965436882725733	-0.0507461515634221
chr1	111500001	112000000	500000	7187	0.400724	0.906396	TRUE	TRUE	1.0108133186633	1.0022777509763	0.00328236325234407
